name1,name2,label
BLACK BOX SAFETY,KITCHEN 88,0
MB,MB EMBEE HOLDINGS,1
RELAY GRADUATE SCHOOL OF EDUCATION,TACTIX,0
BARISTA IN A BOTTLE,BARISTA IN A BOX,1
DL HOME GOODS,DL,1
PLATING,DIGITAL PLATING,1
NIKE,NKE SAFETY APPAREL,1
RAGE,LEFEU,0
BE A GOOD BOT,PLATANITOWORLD,0
TAZO,LOSC,0
STS,RH FOUR,0
ROKA,R.O.K.A,1
MX-SETAN,MX,1
NETCLO INSURANCE SOLUTIONS,REJUVACARE,0
SHIPWRECK REEF CAFE,REEF,1
BOSONNI,NAKAMA,0
CEREMONY,ALDER,0
AZUL,AZUL HOSPICE & PALLIATIVE CARE AHPC,1
FERNICHER,DOODAYS,0
BAUHAUS BREW LABS,BAUHAUS BREW LABS,1
SHINGLE SAVER,MY SHINGLE SAVER,1
GOFUNDME.ORG,GOFUNDME GIVING FUND,1
CPT,CPTI,1
CAPRICORN,TROPIC OF CAPRICORN,1
TOTAL BUILDING TECHNOLOGIES,TOTAL BUILDING PERFORMANCE,1
ONE-TO-ONE PRIVATE SCHOOL,WEBOS PAY,0
UFIXX,BARK BUDDIES,0
SISU,TRUE FRESH,0
ERA,ERA,1
[Design Mark],[Design Mark],1
ROVERROD,ROVER RIDGE,1
TOMOPET,TOMOPETI,1
MYSTIC SLOTS,MYSTIC COLLECTION PANDA- LICIOUS,1
HELL HOUNDS EST. 2015,HOUNDS OF HELL,1
TORCHLIGHT HIRE,MARKET CHOP & PREP,0
ADELA,EL CORAZÔŽ DE ADELA,1
VAULT ATLAS,MAXPRESSO,0
DOUEAT,DOUEAAT,1
LEVEL UP,LEVEL UP STUDIO SUITES,1
QVR,QVR,1
NOBLETREE,THE NOBLE TREE,1
ANYCAN,ANYCAN,1
SUTERA,OSOS,0
THE PARAGON,ONE TO ONE CLASSROOM,0
JUST IN TIME PLUMBING,AIREC,0
SPRINGER NATURE,SPRINGER NATURE,1
DRI-FIT,[Design Mark],1
WAVE CORPORATION,WAVE ESSENCE,1
ROVER GEAR,ROVER RIDGE,1
LETSGOKID,SECURE PLANET,0
RIFFIN,REEL SHORTS,0
CONTENDER,CONTENDER TOOLS AND EQUIPMENT,1
TRUST & WILL,"REVERIE, A SAL MISSERI SALON",0
LIQUORS GALORE,ROYAL AIRE,0
AIM,AIM INSTITUTE,1
REVITAGLOW,VITAGLOW,1
RXCROSSROADS,CROSSROADS CHEMISTS,1
VS,V&S,1
FOGGZ SOLUTIONS DECIPHERING & SIMPLIFYING SOLUTIONS,ALDERCANE,0
KIDS RISE,PASTURELANDS BEEF CO,0
"GIRL, YOU'RE GOOD ENOUGH!",SICARIO MARGARITA 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0
PURO VERDE,VERDEPUR,1
NAMU,THE DAD JOKE 3000,0
AGE GRACEFULLY. LIVE VIBRANTLY.,EQUINOX 21/22,0
TITIGER,50 SUPER BOLD COMEDY,0
REDD'S,REDD FANG,1
CUVÄ’E,PLANET PAWS,0
ANDROID,BEAUTISPHERE,0
TAKE A HIKE,FOLIUM PX,0
IMKUTIE,AMCUTIE,1
1ST STEP BEHAVIORAL HEALTH,FIRST STEPS RECOVERY,1
USFLOORS,MATCHA+FOCUS,0
BEE HAPPY,BEE HAPPY CANDLE,1
CERTIFIED INCOME ADVISOR,JUST JOSHIN,0
DELISH STRAWBERRY KISS,EARTHY,0
W-INIT,THE GOOD TIMES,0
VAMOAR,W&H,0
O'SHEAS,O'SHEA'S IRISH CREAM COFFEE.,1
ASTRA,ASTRAGEM,1
OPUS,IPOOLMATE,0
KIA MOVEMENT THAT INSPIRES,TERRAMAX,0
FLAMEXX,FLAMEX PF,1
BEBE,BEBEMEMO,1
BAUDELAIRE,BAUDELAIRE,1
PRISMA BEAUTY,HOMEX,0
VENN,VENN,1
COMMA MONEY MONTH,MAHA,0
PUREVIVE,WOW! ENTERTAINMENT,0
DUSK & DAWN,COLIBRE,0
MAREA,INTELLIGENT NUTRITION,0
HONLYN,HONLEN,1
INTENTIONAL BY NATURE,INTENTIONAL,1
GILBEST,ZETA,1
MIIO. MADE IN ITALY ONLY,MS HELEN,0
COMISA,COMISIMO,1
IMPERIAL,IMPERIAL,1
ZERIA,VIIBE,0
UMOVE,WHITNEY BOIN,0
CMK,ZIKIT,0
BEEHAPPY,IBAYAM,0
[Design Mark],[Design Mark],1
LOVE BOMBED,LOVEBOMB,1
EVERYDAY KNEADS,JAM,0
BEVYY'S,ENLITE,0
TIFFANY,CONNECTING AVIATORS,0
KIALIFE,BARK BUDDIES,0
ROYALEBOX,NUTRI NIBBLES,0
LIFTIQUE SKINSTUDIO,RITE MIND,0
VELOVA,VELORIVA,1
ANF GYROS & GRILL,AUTHENTIC GYROS & GRILL,1
THE ROCKEFELLER UNIVERSITY HOSPITAL,JESUS POWER BRACELETS,0
AVIARY,VOLIERE SPIRITS,1
BLUEBERRYBEAR,PURITYNEST,0
VIGOR BELL,TURQUOISE ENVIRONMENTAL,0
SOJRO,"LOOK GOOD, FEEL GOOD, DO GOOD",0
X NUR,NÝ’,1
LUMINOR DAYLIGHT,BENIX,0
LAM,XIAOMI DASHENG LAM,1
8,8,1
BUSYBAGZ,BUSY BAGS,1
FORTEMOTUS,FORTEMOTUS,1
ZERIA,BEMUSED BY EXPRESSION RECORDINGS,0
MATCH PERFECTION,MATCH COSMETICS,1
MYSTIC ENTERPRISES,MYSTIC COLLECTION WINGED CHARM,1
EASEWELL,EAZEWELL,1
JNS-BELIEVE,JUST JOSH'N,0
HUMAN-FIRST AI MARKETING,SKYLAR,0
MIDNIGHT COWBOY,NAMU,0
SOCIAL FOR GOOD,MOJO TRACKS,1
C2C,CONFUSION TO CLARITY (C2C),1
TINY HOUSE MANSIONS,OUR TINY MANSION ON WHEELS,1
RADISH FICTION,VITAMINCANDY,0
EUHSUN,EQUINOX IT'S NOT FITNESS. IT'S LIFE.,0
ON POINT LOGISTICS L.L.C.,ON POINT RENTAL CARS LLC,1
AGAVE 33,RAVENNA CAFE ITALIANO,0
THE TITAN GROUP,TECH TITANZ,1
M M STAR,MSTARS,1
PLANET,KAWAKEB,1
JD BABY AND MOM,"SOUTHERNMOST POINT BAR IN THE CONTINENTAL U.S.A. KEY WEST, FLORIDA",0
LET'S KEEP MOVING,OXFORD HOME LENDING,0
EVERHOUSE,QUALITY 1ST,0
UNLIMITED ART PROJECT,ENLIMITEDRTS,1
ROOTMAX,ROOTAMAX,1
NÝ’,COMPASSIONATE CANNABIS,0
SUNNY DAYS,BAMBOO SOFT,0
KNEEL,FLUFFY,0
#HAPPYHEARTS Q,CHARLES JANG'S HAPPY HEART,1
ELAN,ELAANSPORTS,1
CYPRESS BANK & TRUST,INFINITE ABUNDANCE PRIVATE BANK - ESTATE & TRUST,1
NO FEAR,HOPE /NO FEAR,1
COZYNEST,COZYNESTING,1
[Design Mark],HEROES,1
ROC-1,ANTETOK,0
BAINBRIDGE CUP,CIRCULOR,0
THE DAD JOKE 5000,FOLGORE,0
EMPEROR,KONGA WEAR,0
FOG GIRL,NEOCORTEX,0
ROOST SLEEP,URBANROOST,1
BLUE SCIENCE SOLUTIONS,SCIENCE SOLUTIONS LLC,1
BITTOUY,ON POINT LOGISTICS,0
WUFF,WUFFS,1
LEAH JORGENSEN LJC CELLARS,SOLO PRO,0
DIVA,DIVA LIFE,1
SCHOOL OF HARD KNOX,KEEP IT CALYX,0
RIGH PRECISE INTEREST PORTFOLIO,BIZGROWTHINC,0
BRAND EXCELERATOR,THE BRAND ACCELERATOR,1
HK SIGN,YES CHEF FOOD FEST,0
MOJO,MOJO TRACKS,1
SAIBOPUNK,SAIBOBOKAI,1
CICIDO,CICIDO,1
AMERICAN DREAMIN' APPAREL CO. EST. 2020,A AMERICAN DREAM CLUBHOUSE,1
KAMA MUTA,KAMA MUTA,1
COOL FUEL,COOL FUEL SCHOOL,1
DAZZ,TOP TIER AUTOMOTIVE,0
STANLEY HOME PRODUCTS,STANLEY PRIME,1
TORCHLIGHT MARKETING,THE ICE BATH CLUB,0
BLUE IMPACT,SUNLAB ESSENTIALS,0
QUICK CALLER,LION STAR COLLEGE OF MUSIC,1
T SQUARE DESIGNS CO,GEOMETRIC INNOVATIONS,0
HYDROCOM,QVN,0
PRISMA HEALTH CHILDREN'S HOSPITAL,TOTES,0
CHULL & CHULLS,OAKLEY,0
AM,AM-10,1
TIKTOK GENERAL STORE,TIK TOK,1
BATHROOM REMODELING ITS WHAT WE DO ITS ALL WE DO,NAVYA,0
NIKE,NKE SAFETY APPAREL,1
OCTAVA,MASSIF,0
HOW LEADERS LEAD WITH DAVID NOVAK,ABOVE AVERAGE GOWEAR AV,1
NITRO REEF,SYNTHETIC HUMANS,0
RED THREAD,THE RED THREAD,1
BE JUBIE,JUBI,1
V VISTAR MEDIA,SADITY WAX,0
PS=0,TRISKELE,0
ABSOLUTE ELECTRICAL SERVICE INC,COZY NEST,0
HBI LABS,HBI HEALTH & BEAUTY INNOVATIONS,1
J'ADORE LA FLEUR I LOVE THE FLOWER,J'ADORE,1
ARTISTBOXXX,CAFE HIVE,0
TROVE PRIVATE WEALTH,TROVE,1
SIMPLE ROOTS COFFEE,HILLBETTY,0
IT'LL BUFF,SOINLOVEBLUE,0
NO FEAR,HOPE /NO FEAR,1
REFRAME,NOVATECH,0
AFAQ,J'ADORE NOIR,0
GAW$ 2230,GAWS,1
NIKE ZENVY,NKE SAFETY APPAREL,1
BOX OF ROYAL RAGS,ROYALEBOX,1
TRITON DIGITAL,TRITON ACOUSTICS,1
ROLL-ON,ROLL-ON,1
Martin Tiffany,CORNERSTONE SINGERS,0
DRI-FIT,POLAR HEAT NANUUQ,1
CALA,CALA UNIVERSE 360,1
SYZYGY,SYZYGY FORGE,1
TENAMPA,TENAMPA,1
EASY HOME RENTALS,EVE,0
SALESCORE,SALES CURE,1
TRUE SERVICE REACHING OUT TO OTHERS,NEXGEN PETROLEUM,0
MAGIC HANDS CAR WASH & DETAILING,W&H,0
MERMAID,MLR200,0
MYSTIC GAMING,MYSTIC COLLECTION GOLDEN CLIMBER,1
SERENOVO,FLUM,0
HERA'S PALACE,HERA'S PALACE,1
HIGH PLAINS,HIGH PLAINS STEAKHOUSE,1
INTERBRAND ACCELERATOR,THE BRAND ACCELERATOR,1
VIBE SCORE,CARPENTER'S CUP,0
SWEAT FIXX,BODY FIXX WAY,1
DEDICATED SENIOR MEDICAL CENTER A CHENMED COMPANY,PIVOT PREMIUM COCKTAIL COMPANY,0
XSEMI,1804,0
WHITE MASS,ADVANCED BLACK MASS,1
MOYENO,RECOUP CRYOSPHERE,0
NIKE,NKE SAFETY APPAREL,1
I AM HER,I AM HER,1
REBEL JACK COUNTRY,NEW JACK COUNTRY,1
SIMPLE ROOTS,SIMPLE ROOTS,1
HOSPITALITY DESIGN,HOSPITALITY DESIGNS,1
TRIBE513,1ST STEP BEHAVIORAL HEALTH,0
THE RED THREAD,CHICKEN IN THE KITCHEN,0
VEROGUARD,EMBER ROASTING CO.,0
FLUM BOX,ASR DESIGN,0
EVERSAFE MOVING,RECOVERY REEF,0
COZY PALS,TEARS OF THE LEFT,0
"KC'S CRAFTY CREATIONS, LLC",K&M CRAFTY CREATIONS K&M CRAFTY CREATIONS CRICUT,1
DIGIGUARD,DIGIGUARDIANS,1
GRAY,THE SIX FIGURE CHICK,0
IQ CHEWS,LIPMAN FAMILY FARMS,0
THE H.E.R. FORMULA,VONA,0
MAXOUTSPORTS,MAXOUT360,1
CLINK,FULL BODY FIX,0
HEATED THROW BLANKET ELECTRIC,EASYLIFT,0
ENHANCED ESTÉTIC,TALKA MOBILE,0
XII NOW,XII,1
DAZZ,DAZZSTYLE,1
ZIP,ZIP,1
NIKE,NKE SAFETY APPAREL,1
